S. No.,Flo_District,Flo_Name of the Centre,Flo_Address,Flo_Latitude,Flo_Longitude
1,Anantnag,Intensive Cattle Development Batengoo,batengoo,33.4516,75.0514
2,Anantnag,Intensive Cattle Development Marhama,marhama,33.841173,75.06896
3,Anantnag,First Aid Center Dabruna,"Utterso najigund,",33.4454,75.074
4,Anantnag,Intensive Cattle Development Bijbehara,bijbehara,33.801735,75.07523
5,Anantnag,PEC Vailoo,Vailoo,33.779723,75.10656
6,Anantnag,Block Veterinary Officer Bijbehara,bijbehara,33.779723,75.10656
7,Anantnag,Intensive Cattle Development Wanpoh,Wanpoh,33.696689,75.11714
8,Anantnag,Intensive Cattle Development Mirbazar,Mir bazar,33.683915,75.1237
9,Anantnag,Sub Unit Khiram,KHIRAM,33.808762,75.12626
10,Anantnag,Sub Unit Sirhama,Sirhama,33.81,75.131
11,Anantnag,District Veterinary Hospital Ang,Municipal Council Anantnag,33.734928,75.13592
12,Anantnag,PDO Office Anantnag,Municipal Council Anantnag,33.734928,75.13592
13,Anantnag,DIO Office Anantnag,Municipal Council Anantnag,33.734928,75.13592
14,Anantnag,Artificial Breeding Station Ang,Municipal Council Anantnag,33.734928,75.13592
15,Anantnag,Livestock Development Officer Office Anantnag,Municipal Council Anantnag,33.734928,75.13592
16,Anantnag,Disease Investigation Laboratory Anantnag,Municipal Council Anantnag,33.734928,75.13592
17,Anantnag,Intensive Cattle Development Sangran,Sangran,33.653862,75.13827
18,Anantnag,Gujjar Backarwal Centre Qazigund,Qazigund (MC)   Ward No.6,33.59632,75.13987
19,Anantnag,Intensive Cattle Development Panzath,Panzath,33.639826,75.14159
20,Anantnag,Intensive Cattle Development Mantpora,MANTPORA,33.6788,75.14222
21,Anantnag,Poultry Rearing Space Khayar,Khayar,33.7350004,75.14262
22,Anantnag,Intensive Cattle Development VesSub Unit,Vessu,33.7550004,75.14262
23,Anantnag,Intensive Cattle Development Tanjloo,Tajloo,33.628142,75.14807
24,Anantnag,Intensive Cattle Development Dailgam,Dialgam,33.686825,75.14815
25,Anantnag,Sub Unit Adlash,ADLASH,33.76655833,75.14827
